key,en,de,es,fr,it,ja,ko,pt,zh-Hans,ru
ad_buyout_name,Ad Buyout,Keine Werbung,Compra de cancelación de anuncios,Rachat pubs,Offerta pubblicità,広告買収,광고 인수,Compra Anúncio,广告购买,Выкуп рекламы
rating_title,Having Fun?,Macht's Spaß?,¿Te estás divirtiendo?,Vous vous amusez ?,Ti stai divertendo?,楽しんでる？,게임을 즐기고 계신가요?,Divertindo-se?,好玩吗？,Нравится игра?
rating_body,Rate us 5 Stars!,Gib uns eine 5-Sterne-Bewertung!,¡Danos una calificación de 5 estrellas!,Donnez-nous 5 étoiles !,Dacci 5 stelle!,ぜひ5つ星評価をお願いします！,5점으로 평가해 주세요!,Dê cinco estrelas para a gente!,给我们5星好评吧！,Оставь нам 5 звезд!
rating_no_text,No Thanks,Nein danke,"No, gracias",Non merci,"No, grazie",やめておく,사양할게요,"Não, obrigado",不，谢谢,"Нет, спасибо"
rating_yes_text,Rate It!,Bewerten!,¡Evalúa el juego!,Notez le jeu !,Valutalo!,評価する！,평가할게요!,Avalie!,给出评价！,Оставить отзыв!
purchasing_unavailable_ok,OK,O. K.,Aceptar,OK,OK,OK,확인,OK,确定,OK
sound_fx,Sound,Geräusche,Sonido,Sonores,Sonori,サウンド,음향 효과,Sonoros,声音,Звуковые
music,Music,Musik,Música,Musique,Musica,音楽,음악,Música,音乐,Музыка
tutorial,Tutorial,Tutorial,Tutorial,Didacticiel,Tutorial,チュートリアル,튜토리얼,Tutorial,教程,Обучение
application_update_yes,Update Now,Jetzt aktualisieren,Actualizar ahora,Mettre à jour,Aggiorna ora,今すぐアップデート,지금 업데이트하기,Atualizar agora,现在更新,Обновить сейчас
application_update_no,No,Nein,No,Non,No,いいえ,아니요,Não,无,Нет
application_update_later,Later,Später,Más tarde,Plus tard,Più tardi,後で,나중에 하기,Depois,稍后,Позже
,,,,,,,,,,
CREDITS TITLES,,,,,,,,,,
executive_director,Executive Director,Verantwortlicher Leiter,Director ejecutivo,Directeur exécutif,Direttore esecutivo,エクゼキュティブディレクター,총감독,Diretor Executivo,执行董事,Исполнительный директор
technical_director,Technical Director,Technischer Leiter,Director técnico,Directeur technique,Direttore tecnico,テクニカルディレクター,기술 감독,Diretor Técnico,技术总监,Технический директор
creative_director,Creative Director,Kreativer Leiter,Director creativo,Directeur de création,Direttore creativo,クリエイティブディレクター,제작 감독,Diretor Criativo,创意总监,Творческий директор
lead_game_designer,Lead Game Designer,Leitender Spieldesigner,Jefe de diseñadores,Concepteur de jeu principal,Progettista responsabile del gioco,チーフゲームデザイナー,선임 게임 디자이너,Designer Principal do Jogo,游戏主设计师,Главный дизайнер игры
programming,Programming,Programmierung,Programación,Programmé,Programmazione,プログラミング,프로그래밍,Programação,规划,Программирование
art,Art,Kunst,Gráficos,Croquis,Grafica,アート,아트,Arte,艺术,Картинка
music_sfx,Music + SFX,Musik und Soundeffekte,Música y efectos,Musique + Effets,Musica e SFX,音楽&効果音,음악 및 SFX,Música e Efeitos,音乐和特效,Музыка и звук. эффекты
art_director,Art Director,Künstlerischer Leiter,Director artístico,Directeur artistique,Direttore grafica,美術ディレクター,미술 감독,Diretor de Arte,艺术总监,Художественный редактор
lead_designer,Lead Designer,Leitender Designer,Diseñador en Jefe,Concepteur principal,Capo progettista,リードデザイナー,수석 디자이너,Designer Líder,主设计师,Ведущий дизайнер
lead_programmer,Lead Programmer,Leitender Programmierer,Programador en jefe,Programmeur en chef,Capo programmatore,リードプログラマー,수석 프로그래머,Programador Líder,主程序员,Ведущий программист
gameplay_programmer,Gameplay Programmer,Gameplay-Programmierer,Programador de juego,Programmeur jouabilité,Programmatore gameplay,ゲームプレイプログラマー,게임플레이 프로그래머,Programador de Jogabilidade,游戏性程序员,Программист игрового процесса
engine_programmers,Engine Programmers,Engine-Programmierer,Programadores del motor del juego,Programmeurs moteur,Programmatori motore grafico,エンジンプログラマー,엔진 프로그래머,Programadores de Engine,引擎程序员,Системные программисты
additional_programming,Additional Programming,Zusätzliche Programmierung,Programación adicional,Programmation additionnelle,Programmazione addizionale,補助プログラマー,추가 프로그래밍,Programação Adicional,附加编程,Дополнительное программирование
artists,Artists,Künstler,Dibujantes,Artistes,Grafici,アーティスト,아티스트,Artistas,美术师,Художники
live_team,Live Team,Live-Team,Equipo en directo,Équipe Live,Live Team,ライブチーム,라이브 팀,Equipe de Animação,现场团队,Интерактивная команда
producers,Producers,Produzenten,Productores,Producteurs,Produttori,プロデューサー,프로듀서,Produtores,制作人,Продюсеры
designers,Designers,Designer,Diseñadores,Concepteurs,Progettisti,デザイナー,디자이너,Designers,设计师,Дизайнеры
programmers,Programmers,Programmierer,Programadores,Programmeurs,Programmatori,プログラマー,프로그래머,Programadores,程序员,Программисты
vp_qa_customer_support,VP of QA and Customer Support,VP QS und Kundendienst,VP de AC y Asistencia al cliente,Vice-président CQ et S.A.V.,VP di CQ e Supporto clienti,QAとカスタマサービスのVP,QA 및 고객지원 부사장,VP de CQ e Suporte ao Cliente,质量保证和客户支持副总裁,ВП по контр. качества и поддержке
qa_lead,QA Lead,QS-Leiter,Jefe de AC,Responsable CQ,Capo CQ,QAリード,QA 수석,Líder de CQ,质量保证主管,Вед. спец. по контр. качества
ass_qa_leads,Assistant QA Leads,Stellv. QS-Leiter,Jefes de AC asistentes,Assistants responsables CQ,Capi assistenti CQ,アシスタントQAリード,QA 수석 어시스턴트,Líderes de Assistência em CQ,质量保证主管助理,Пом. специалиста по КК
qa_analyst_team_lead,QA Analyst – Team Lead,QS-Analysten – Teamleiter,Analista de AC: Jefe de equipo,Analyste CQ - Chef d'équipe,Analista CQ – Capo team,QAアナリスト – チームリード,QA 분석가 – 팀장,Analista de CQ – Líder da Equipe,质量保证分析员—团队主管,Аналитик по КК (рук. отдела)
qa_analysts,QA Analysts,QS-Analysten,Analistas de AC,Analystes CQ,Analisti CQ,QAアナリスト,QA 분석가,Analistas de CQ,质量保证分析员,Контроль качества: аналитики
qa_testers,QA Testers,QS-Tester,Testers de AC,Testeurs CQ,Tester CQ,QAテスター,QA 테스터,Testadores de CQ,质量保证测试员,Контроль качества: тестировщики
qa_interns,QA Interns,QS-Praktikanten,Becarios de AC,Stagiaires CQ,Stagisti CQ,QAインターン,QA 인턴,Estagiários de CQ,质量保证实习生,Контроль качества: стажеры
qa_engineers,QA Engineers,QS-Techniker,Ingenieros de AC,Ingénieurs CQ,Ingegneri CQ,QAエンジニア,QA 엔지니어,Engenheiro de CQ,质量保证工程师,Контроль качества: инженеры
cs_lead,Customer Service Lead,Kundenservice-Leiter,Jefe de Asistencia al cliente,Responsable service clientèle,Capo Servizio clienti,カスタマサービスリード,고객지원 팀장,Líder de Serviço ao Cliente,客户服务主管,Руководитель Службы поддержки
customer_service,Customer Service,Kundenservice,Asistencia al cliente,Service clientèle,Servizio clienti,カスタマサービス,고객지원,Serviço ao Cliente,客户服务,Служба поддержки
marketing,Marketing,Marketing,Mercadotecnia,Marketing,Marketing,マーケティング,마케팅,Marketing,营销,Маркетинг
promo_art,Promotional Art,PR-Künstler,Trabajo artístico promocional,Illustrations promotionnelles,Grafica promozionale,宣伝用美術,홍보 아트,Arte Promocional,宣传片,Рекламное оформление
,,,,,,,,,,
CREDITS NAMES,,,,,,,,,,
ambrose_krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs,Ambrose Krapacs
anna_rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko,Anna Rudenko
annie_fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge,Annie Fodge
aubrey_hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges,Aubrey Hodges
blaine_loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder,Blaine Loder
brandy_long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long,Brandy Long
brian_vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton,Brian Vinton
cameron_conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad,Cameron Conrad
craig_neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff,Craig Neff
curtis_bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett,Curtis Bennett
cyndi_jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley,Cyndi Jolley
dale_thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms,Dale Thoms
donny_long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long,Donny Long
doug_summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers,Doug Summers
erin_whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse,Erin Whitehorse
ethan_pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft,Ethan Pendergraft
evan_newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton,Evan Newton
geoffrey_moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer,Geoffrey Moyer
greg_mcqueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen,Greg McQueen
hye_rim_jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun,Hye-rim Jun
igor_lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk,Igor Lobodyuk
ilona_paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski,Ilona Paslawski
james_larson,James Larson,James Larson,James Larson,James Larson,James Larson,James Larson,James Larson,James Larson,James Larson,James Larson
jason_dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple,Jason Dalrymple
jay_wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner,Jay Wagner
jeremy_anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson,Jeremy Anderson
jeremy_parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker,Jeremy Parker
jess_harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley,Jess Harpley
joey_julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian,Joey Julian
jon_golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden,Jon Golden
jordan_sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar,Jordan Sindelar
josh_campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell,Josh Campbell
julian_farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior,Julian Farrior
justin_larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee,Justin Larrabee
justin_mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier,Justin Mercier
justin_seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn,Justin Seabourn
kevin_depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue,Kevin Depue
logie_beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck,Logie Beck
luke_roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts,Luke Roberts
michael_walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters,Michael Walters
mike_lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski,Mike Lewandowski
mike_mcgovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern,Mike McGovern
nick_vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen,Nick Vehanen
omar_guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman,Omar Guzman
rachel_medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano,Rachel Medrano
ron_clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement,Ron Clement
russ_slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough,Russ Slough
ryan_drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag,Ryan Drag
ryan_harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper,Ryan Harper
sean_prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski,Sean Prahinski
shawn_harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris,Shawn Harris
tom_blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind,Tom Blind
tommy_lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou,Tommy Lhou
tye_hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley,Tye Hooley
william_voss,William Voss,William Voss,William Voss,William Voss,William Voss,William Voss,William Voss,William Voss,William Voss,William Voss
tyson_mccann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann,Tyson McCann
,,,,,,,,,,
credits_copyright,"(c) 2011-2015, Backflip Studios",(c) 2011-2015 Backflip Studios,"(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios","(c) 2011-2015, Backflip Studios"
tap_to_jump_and_attack,Tap to jump & attack,"Tippe, um zu springen & anzugreifen",Pulsa para saltar y atacar,Appuyez pour sauter et attaquer,Tocca per saltare e attaccare,タップでジャンプ＆攻撃,탭하여 점프 및 공격,Toque para saltar e atacar,轻触后跳跃并攻击,"Коснись, чтобы прыгнуть и напасть"
hit_three_of_a_kind_for,Hit 3 of a kind for a bonus jump,Erwische 3 der gleichen Art für ein Bonus-Sprung,Golpea 3 iguales para un salto de bonificación,Enchaînez 3 cibles identiques pour un saut bonus,Colpiscine 3 dello stesso tipo per un salto bonus,同じ種類の敵を3体ヒットして ボーナスジャンプをゲット,같은 항목 3개 타격으로 보너스 점프 얻기,Atinge 3 iguais para um salto bônus,击中3个相同对象，取得 奖励跳跃,Попади по 3 одинаковым бонусного прыжка
avoid_obstacles,Avoid obstacles on walls,Hindernisse vermeiden an Wänden,Evita los obstáculos en las paredes,Éviter les obstacles sur les murs,Evita gli ostacoli sulle pareti,壁の障害物を 回避しよう,벽의 장애물 피하기,Evitar os obstáculos nas paredes,避开障碍物 在墙壁上,Избегай препятствий на стенах
a_shield_blocks_one_hit,A shield blocks one hit,Ein Schild blockiert einen Treffer,Un escudo bloquea un golpe.,Un bouclier bloque un coup,Uno scudo blocca un colpo,シールド 1回の攻撃をブロック,쉴드 1회 타격 차단,Um escudo bloqueia um golpe,护盾 挡住了一次击打,Щит блокирует 1 удар
backflip_studios,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS,BACKFLIP STUDIOS
,,,,,,,,,,
tap_to_use_a_shield,Tap to use a SHIELD!,"Tippe, um SCHILD zu benutzen!",¡Pulsa para usar un ESCUDO!,Appuyez pour utiliser un BOUCLIER!,Tocca per usare lo SCUDO!,タップしてシー ルドを使おう！,쉴드를 사용하려면 탭하세요!,Toque para usar um ESCUDO!,轻触以使 用护盾！,"Коснись, чтобы использовать ЩИТ!"
increase_shields_per_game,Increase shields per game in the shield store,Schilde erhöhen pro Spiel im Schild-Store,Aumentar escudos por partida en tienda de escudos,Augmentez le nombre de boucliers par partie depuis la boutique de bouclier,Aumenta gli scudi per partita nel negozio di scudi,シールドショップに行くと1回 のゲームで使え るシールド数をアップできる,쉴드 스토어에 서 게임 당 쉴드 를 증가하세요,Acrescentar escudos por jogo no loja de escudos,增加护盾 每场比赛 护盾商店,Увеличить щиты на игру в магазине щитов
increase_shields,Increase shields per game?,Schilde pro Spiel erhöhen?,¿Aumentar escudos por partida?,Augmenter le nombre de boucliers par partie ?,Aumentare gli scudi per partita?,1回のゲームで使えるシールドの数をアップする？,게임 당 쉴드를 증가하시겠습니까?,Aumentar escudos por jogo?,增加每场比赛中的护盾？,Увеличить щиты на игру?
loading,Loading,Lädt,Cargando...,Chargement,Caricamento,ロード中,로딩중,Carregando,正在加载,Загрузка
paused,Paused,Angehalten,En pausa,En pause,In pausa,一時停止中,일시정지,Pausado,暂停,Пауза
quit,Quit,Beenden,Salir,Quitter,Esci,終了する,나가기,Sair,退出,Выход
height,Height,Höhe,Altura,Hauteur,Altezza,高さ,높이,Altura,高度,Высота
best,Best,Beste,Mejor,Meilleur,Migliore,ベスト,최고,Melhor,最佳,Лучшие
new_high_score,New High Score!,Neuer Highscore!,¡Nuevo récord!,Nouveau meilleur score!,Nuovo punteggio massimo!,Newハイスコア！,신기록 달성!,Novo Recorde!,新的高分！,Новый рекорд!
email_subject,I scored %2 in %1!,Ich habe %2 in %1 geschafft!,¡He conseguido %2 en %1!,J'ai obtenu le score de %2 en %1 !,Punteggio %2 in %1!,%1で%2ポイントゲットした！,제가 %2점을 %1에서 얻었어요!,Pontuei %2 em %1!,我得到了%1中的%2！,У меня %2 оч. в %1!
